Counter,Time (s),Distance (cm)
1,2.073305130004883,12.818000000000001
2,2.174434185028076,13.464
3,2.275886058807373,12.512
4,2.376988172531128,13.379000000000001
5,2.480966091156006,15.895000000000001
6,2.5908432006835938,19.805
7,2.7007250785827637,24.123
8,2.8129541873931885,28.611
9,2.927412986755371,31.892000000000003
10,3.0402181148529053,32.878
11,3.15254807472229,31.331000000000003
12,3.2632291316986084,27.982000000000003
13,3.3730270862579346,23.562
14,3.4814720153808594,19.380000000000003
15,3.58410906791687,15.572000000000001
16,3.685338020324707,13.515
17,3.786278009414673,13.039000000000001
18,3.8875350952148438,14.127
19,3.9926140308380127,16.813000000000002
20,4.102766036987305,20.723000000000003
21,4.2138330936431885,25.245
22,4.3247010707855225,29.104000000000003
23,4.438965082168579,32.01152000000000004
24,4.550935983657837,32.266000000000005
25,4.663664102554321,30.226000000000003
26,4.77478814125061,26.860000000000003
27,4.884526968002319,22.610000000000003
28,4.993546009063721,18.598000000000003
29,5.095180034637451,15.215000000000002
30,5.198379039764404,13.532000000000002
31,5.2994489669799805,13.634
32,5.400969982147217,15.164000000000001
33,5.507858037948608,17.952
34,5.617614984512329,22.049000000000003
35,5.730061054229736,26.180000000000003
36,5.841495990753174,29.869000000000003
37,5.953433036804199,32.011
38,6.065083026885986,31.875000000000004
39,6.175956964492798,29.342000000000002
40,6.287461996078491,25.721
41,6.397032022476196,21.709000000000003
42,6.504083156585693,17.731
43,6.606103181838989,14.943000000000001
44,6.709496021270752,13.532000000000002
45,6.8114330768585205,13.957
46,6.916393041610718,16.014000000000003
47,7.024739980697632,19.193
48,7.134135007858276,23.069000000000003
49,7.246206045150757,27.166
50,7.3577721118927,30.379
51,7.470535039901733,31.875000000000004
52,7.582961082458496,30.872000000000003
53,7.694461107254028,28.152
54,7.80525016784668,24.446
55,7.914016008377075,20.519000000000002
56,8.018891096115112,16.813000000000002
57,8.121088027954102,14.654000000000002
58,8.222265005111694,13.804
59,8.326014041900635,14.586
60,8.430597066879272,16.847
61,8.539775133132935,20.247
62,8.650485038757324,24.208000000000002
63,8.76238203048706,27.880000000000003
64,8.874567985534668,30.736
65,8.987859010696411,31.654000000000003
66,9.09952998161316,29.971000000000004
67,9.211542129516602,26.911
68,9.321652173995972,23.290000000000003
69,9.429798126220703,19.499000000000002
70,9.533682107925415,16.252000000000002
71,9.635596990585327,14.535000000000002
72,9.736570119857788,14.110000000000001
73,9.838097095489502,15.249
74,9.945243120193481,17.884
75,10.054203987121582,21.352
76,10.165067195892334,25.262
77,10.276949167251587,28.441000000000003
78,10.388621091842651,30.974000000000004
79,10.500145196914673,31.127000000000002
80,10.611411094665527,29.342000000000002
81,10.721947193145752,26.248
82,10.83150601387024,22.491000000000003
83,10.939503192901611,18.921000000000003
84,11.043869018554688,15.946000000000002
85,11.145078182220459,14.382000000000001
86,11.24664306640625,14.501000000000001
87,11.348831176757812,15.861
88,11.457321166992188,18.632
89,11.566241025924683,22.253
90,11.67693305015564,25.942
91,11.78898811340332,29.053
